TEAM,Linear,RF,EN,XGB,mean,XGBRF,ranking,color
Duke,4.4347237414203065,4.04,3.939175284999447,3.689093,4.025748006604938,3.918280335534979,1,#012169
Florida,2.449737783458481,1.94,3.446212857128712,2.2993982,2.5338372101467983,2.257745136715599,2,#FA4616
Houston,2.0141097125470253,1.61,3.2849275907730577,1.993119,2.225539075830021,1.9428860252766738,3,#C8102E
St John's,1.731572201391355,1.84,2.8414524163522143,1.5024768,1.9788753544358924,1.773784051478631,4,#C8102E
UCSD,2.5772624690521724,1.49,2.588776222799165,0.96250606,1.9046361879628344,1.4523807493209449,5,#182B49
Drake,2.7060220462474014,1.16,2.406762499148439,1.0241457,1.82423256134896,1.3361260871163203,6,#0057B7
Michigan St,1.2605857507655287,1.92,2.440467372394679,1.5571214,1.7945436307900517,1.7572216769300173,7,#18453B
Auburn,0.5651675782028462,2.17,3.037151151828408,1.2280844,1.7501007825078134,1.7160617275026044,8,#F26522
VCU,2.5592960636955944,0.84,2.2472800832851623,1.3355876,1.745540936745189,1.3070428455817298,9,#F7E400
Alabama,-1.0631791306567102,2.19,2.285456083883134,3.0015693,1.603461563306606,2.2650102877688685,10,#9E1B32
Clemson,2.466049814975861,0.97,2.3538970310073783,0.6214393,1.60284653649581,1.0647619454986035,11,#F56600
High Point,2.816347811598419,0.93,2.4648908851863824,0.10784601,1.5797711766962006,0.8725390622320669,12,#582C83
Tennessee,0.3002768662193062,1.6,2.4915252322141264,1.6334075,1.506302399608358,1.5799032998694527,13,#FF8200
Creighton,-1.1803410859186163,2.49,1.3806456224683743,3.3115792,1.5004709341374396,2.434016711379147,14,#006AB6
Maryland,0.4966656145374557,1.32,2.2027878079996883,1.3238863,1.335834930634286,1.3265737435447622,15,#E03A3E
Gonzaga,1.5731362733559244,1.13,2.280391054609636,-0.15061769,1.2082274094913903,0.7292032398304634,16,#041E42
Texas Tech,0.6287139286890593,0.85,2.410354493455765,0.74899155,1.159514993036206,0.9195021810120686,17,#CC0000
Utah St,1.066200730004411,0.83,1.9448777911585715,0.55798274,1.0997653152907456,0.8292493517635818,18,#041E42
McNeese,1.4941500889759671,0.47,1.9259384760640608,0.3382362,1.0570811912600069,0.6217724637533356,19,#003DA6
Purdue,0.7042720654434333,1.27,1.6307966576683135,0.44803256,1.0132753207779366,0.9104359602593123,20,#CDB87D
Wisconsin,-0.3674286951668932,0.91,2.3300943304309127,1.1641151,1.009195183816005,1.0277700946053352,21,#C5050C
Kentucky,-0.4884914514231688,1.72,1.655960043644088,1.1043282,0.9979491980552297,1.2740924660184099,22,#0033A0
Liberty,0.5152682676512121,1.0,1.9211397121924616,0.416855,0.9633157449609184,0.7933902483203061,23,#002D62
Saint Mary's,0.5838015934060756,0.82,2.38531307779746,0.055891335,0.9612515015508839,0.6123809455169612,24,#041E42
Akron,1.1803927453458345,0.35,1.938710733149677,0.37096047,0.9600159871238778,0.5603254857079593,25,#041E42
Memphis,0.8058384993418173,0.55,2.240577648639801,-0.008988362,0.8968569464954046,0.47928952816513487,26,#0033A0
NC Wilmington,1.593826068971801,0.15,1.7142960028049117,0.11991246,0.8945086329441782,0.38814036431472604,27,#006666
Iowa St,-0.6966505600919604,1.19,2.0235033981059263,0.90386766,0.8551801245034915,0.9830159281678305,28,#C8102E
Louisville,0.4664757347291193,0.52,2.1018720880832094,0.29888493,0.8468081882030821,0.5552310394010274,29,#AD0000
Lipscomb,0.5436111069296778,0.57,1.497350828265107,0.59654826,0.8018775487986961,0.656141936266232,30,#682D63
Illinois,-2.7498715079345075,2.97,1.3047300258751902,1.4070354,0.7329734794851708,1.7033362931617237,31,#E84A27
Oregon,0.3082503952054338,0.39,1.5687017517428006,0.22667386,0.6234065017370586,0.41336012057901955,32,#FEE123
Colorado St,0.4667851658215234,0.18,1.5056228650045616,0.20514415,0.5893880452065213,0.32484406506884045,33,#006A4D
UCLA,-0.4406663768237777,0.73,1.3457353216153791,0.6201654,0.5638085861979003,0.6379913287326334,34,#2774AE
UConn,-0.635175348504486,0.71,1.6262516221759784,0.50234455,0.5508552059178731,0.5877332519726244,35,#041E42
Marquette,-0.6117921171519285,0.82,1.4091244465438653,0.48296854,0.5250752173479841,0.6093479191159946,36,#003366
Grand Canyon,-0.1183743170038802,0.63,1.359194523325132,0.17478281,0.5114007540803129,0.43872785469343767,37,#522398
Montana,0.1449048164091202,0.54,1.0963275736239182,0.15651423,0.4844366550082596,0.3936502950027532,38,#542A52
Norfolk St,0.8822751426474618,0.06,0.8718554945720391,0.09793143,0.47801551680487525,0.2119823156016251,39,#007A33
Robert Morris,0.5551243569460489,0.05,1.2995095734298063,-0.010740402,0.47347338209396383,0.17091099336465462,40,#041E42
Missouri,-0.9291138563587502,0.62,1.6943530692745206,0.20611621,0.39783885572894256,0.4079850219096475,41,#F1B82D
New Mexico,-0.4606616044900775,0.49,1.600313005088542,-0.057482228,0.3930422931496161,0.2751866883832053,42,#D50032
Michigan,-0.8199331875473277,0.54,1.7004600965085763,0.0027486635,0.3558188931153122,0.2995225188717707,43,#00274C
Arizona,-1.3836547632220615,0.72,1.634958384111543,0.26085156,0.3080387952223703,0.42963011840745674,44,#CC0033
Yale,-0.6568904196538732,0.17,1.1945736747235276,0.39977628,0.2768648837674136,0.2822137212558045,45,#00356B
Oklahoma,-0.7110478951819594,0.5,0.7468364566394549,0.18307927,0.17971695786437386,0.28759874262145796,46,#841617
Mississippi,-1.0605103509205982,0.46,1.203185716164458,0.008143423,0.15270469706096493,0.20694937335365496,47,#CE1126
BYU,-1.7342747007673225,0.51,1.881366025857513,-0.17543861,0.1204131787725476,0.1516581895908492,48,#002E5D
Texas A&M,-2.556495584028074,1.18,1.2471151979969115,0.570938,0.11038940349220938,0.6204424678307364,49,#500000
Kansas,-1.1122392668354486,0.45,0.9464142644118236,0.09029208,0.09361676939409375,0.21130294979803121,50,#0051BA
Troy,-0.9999603700935076,0.29,0.8035963815463846,0.24995336,0.08589734286321926,0.2086169009544064,51,#8A181A
Bryant,-0.941632055783117,0.26,0.7545430143964694,0.22050038,0.0733528346533381,0.18461773821777938,52,#B4975A
North Carolina,-1.4619256561227587,0.54,1.047942517750451,0.15024714,0.06906600040692311,0.25310438013564107,53,#7BAFD4
American,-0.3907737000301452,0.26,0.274838984954463,0.09104223,0.05877687873107945,0.1366063695770265,54,#041E42
Arkansas,-1.0757840980469453,0.13,0.5879031275517703,0.06533846,-0.07313562762379375,0.04073427745873542,55,#9D2235
Xavier,-1.4441360240118506,0.3,0.8519842883286032,-0.2501221,-0.13556845892081185,-0.028563519640270624,56,#0C2340
Omaha,-1.808741324342929,0.39,0.4560561602308046,0.4142373,-0.13711196602803105,0.22237511132398965,57,#041E42
Georgia,-1.6159177334518515,0.14,0.677447729220823,0.15245469,-0.16150382855775716,0.043650287147414285,58,#BA0C2F
Mississippi St,-2.20402319044279,0.3,1.0368484587720197,0.08914409,-0.19450766041769252,0.06487880986076916,59,#5E001D
Vanderbilt,-1.898508790053992,0.31,0.7183875644545248,0.07028251,-0.19995967889986682,0.06010761036671106,60,#866D4B
Wofford,-2.150402225570428,0.6,0.2159158937137297,0.44301417,-0.2228680404641745,0.2733820431786085,61,#A89968
Mt St Mary's,-1.010650828129002,0.04,0.0929492436338257,-0.1039499,-0.2454128711237941,-0.10312092370793136,62,#041E42
SIU Edward,-1.32976987967508,0.03,0.2118551563929114,0.042743836,-0.26129272182054214,-0.06284962860684738,63,#041E42
San Diego St,-1.909229154511145,0.16,0.4956444296017279,-0.16295223,-0.3541342387273543,-0.11902882290911809,64,#C41230
Texas,-2.562643683656024,0.14,0.585355814887115,0.011292837,-0.45649875794222716,-0.10173530698074239,65,#BF5700
Baylor,-2.956346978041996,0.39,0.6675257500868677,0.022811115,-0.4690025282387821,-0.018730471079594024,66,#154734
Alabama St,-2.32194305722415,0.26,-0.2851805442068895,0.10016261,-0.5617402478577599,-0.06719254595258663,67,#F1C400
St Francis PA,-2.2534349351575216,0.23,-0.9923238073059252,0.26375008,-0.6880021656158617,-0.06475069520528724,68,#C8102E
