TEAM,Linear,RF,EN,XGB,mean,XGBRF
Duke,3.4390928312598064,2.57,3.887082700122682,2.1193101,3.0038714078456223,2.564393835948541
Creighton,-1.005170445177047,2.31,1.370955217402136,3.622827,1.5746529430562723,2.502493314352091
Alabama,-1.2993309026961164,2.19,2.295667655847023,2.9671698,1.5383766382877266,2.2318488127625753
Florida,2.5316237097354417,1.9,3.430638720103045,2.1770272,2.509822407459622,2.1956165358198736
Auburn,1.2921729294150452,2.2,3.087166677852551,2.060003,2.1598356518168993,2.1399462172723
St John's,2.0970043440944046,2.18,2.83954907979881,1.9137372,2.257572655973304,2.1171032853244345
Houston,2.361678792442916,1.58,3.278870136514411,1.7006835,2.2303081072393316,1.8369972024131105
Michigan St,1.688130144891247,1.99,2.4588134574698364,1.5431496,1.920023300590271,1.8177243001967571
Tennessee,1.5024366471479451,1.72,2.516276216146366,1.6312078,1.8424801658235779,1.7312293219411927
Illinois,-2.595178251418254,2.88,1.3251531698029697,1.387396,0.749342729596179,1.6722462431987264
UCSD,2.7353475613793634,1.9,2.625294670650264,1.0183523,2.069748633007407,1.6627003110024692
Drake,3.0952870053628097,1.19,2.443454669298755,1.0916117,1.9550883436653912,1.4122333478884637
Maryland,0.9086912043618938,1.45,2.2354995827439783,1.1182548,1.428111396776468,1.332122065592156
Liberty,2.010330919314488,1.09,2.002311121005928,1.2855436,1.5970464100801043,1.3241966700267016
Clemson,2.340664642917368,1.16,2.382280965747208,0.84793824,1.6827209621661439,1.230219734055381
Iowa St,-0.2667305971316551,1.42,2.017793388445713,1.151854,1.0807291978285145,1.2175277326095049
VCU,2.563793820347474,0.95,2.278088521476049,0.97865677,1.6926347779558808,1.2070971826519603
Wisconsin,0.0978024703743116,0.89,2.316249807659432,1.3506718,1.1636810195084357,1.1347842731694786
Kentucky,-0.4153895119848663,1.72,1.6820931972320796,0.6447624,0.9078665213118032,1.0908763071039345
Saint Mary's,1.7885664211559096,0.85,2.4623303689056826,0.84675586,1.486913162515398,1.0612230075051328
Purdue,0.6732685480492719,1.3,1.6446411804397938,0.49726397,1.0287934246222663,0.9420191315407553
Texas Tech,1.4199450637047375,0.84,2.4492974447579194,0.5842309,1.323368352115664,0.915866417371888
Lipscomb,1.6536435646377008,0.75,1.5703877239673023,0.67917526,1.1633016371512508,0.8641589657170835
Gonzaga,1.7416612907937186,1.14,2.286795953466718,0.106605925,1.318765792315109,0.8551239057717029
McNeese,2.260543524838045,0.63,1.992917917507612,0.52585495,1.3523290980864144,0.8360613493621383
High Point,2.861734703971728,0.94,2.5055634507427222,-0.018939905,1.5720895624286126,0.8310498858095375
Akron,2.683359921256418,0.43,2.0077672334458487,0.4088902,1.3825043386755667,0.7404648462251888
UCLA,-0.0631218189698472,0.74,1.357676507833455,0.7264952,0.690262472215902,0.7189192240719673
Memphis,1.068985667250388,0.65,2.254943338308933,0.38825303,1.0905455088898302,0.7095995129632767
Utah St,1.1110874100666948,0.73,2.015837628008147,0.30948535,1.0416025970187104,0.6936959823395702
Grand Canyon,0.9665971743461944,0.72,1.4282510236213035,0.43927294,0.8885302844918744,0.6826010748306248
Louisville,0.5378913370020406,0.62,2.130603467421474,0.4746043,0.9407747761058787,0.6784596920352929
Marquette,-0.3953363462048074,0.84,1.441662498988938,0.46621123,0.5881343456960326,0.6314485252320109
Texas A&M,-2.434575146525919,1.13,1.255597155706616,0.611675,0.14067425229517416,0.627449750765058
UConn,-0.4052860978973562,0.68,1.6586159523218336,0.43267086,0.5915001786061194,0.5680570128687065
Arizona,-1.439015407157363,0.86,1.6051922797159603,0.43156868,0.36443638813964935,0.552001689379883
New Mexico,-0.3756332041491603,0.56,1.6207361490163212,0.30598438,0.5277718312167903,0.4645854037389301
NC Wilmington,1.4306339274315576,0.25,1.7528915095086326,0.2081137,0.9104097842350476,0.45617449474501587
Missouri,-0.8870169917601451,0.58,1.7428127033436955,0.19955735,0.40883826539588763,0.39613187179862913
Oregon,-0.1443571477810792,0.43,1.546375271261618,0.22667386,0.5146729958701347,0.39044895195671153
Michigan,-0.4357353181657828,0.57,1.7409589397657004,0.035426807,0.4776626071499793,0.3610298047166598
Montana,0.1370288234010708,0.38,1.1309426849216118,0.20490023,0.4632179345806707,0.34937272152689025
Colorado St,0.7048713673721245,0.18,1.5160081592676684,0.18283804,0.6459293916599482,0.33625581055331605
San Diego St,-1.5809673051361628,0.36,0.5468760117203937,0.62286055,-0.012807685853942319,0.3233509547153525
Oklahoma,-0.322580617963748,0.5,0.7811041233387156,0.13971978,0.27456082134374193,0.30476020044791396
Yale,-0.8805048832966271,0.29,1.2352462402798687,0.36124524,0.2514966492458104,0.3009139630819368
North Carolina,-1.1182246018191364,0.61,1.0417113411925871,0.12113055,0.1636543223433627,0.2982616241144542
Wofford,-2.1876341957333487,0.54,0.2404931553467519,0.55735517,-0.21244646759664917,0.29496956746778363
BYU,-0.4612986151232121,0.5,1.9068118989866216,-0.11765371,0.4569648934658524,0.27977039448861746
Norfolk St,1.5711694417309765,0.06,0.908895109320789,0.09793143,0.6594989952629414,0.2724768084209805
Kansas,-1.196102126169425,0.57,0.9708178037456288,0.11101578,0.11393286439405095,0.26498288146468363
Xavier,-0.8419196399696283,0.38,0.8627170271901448,0.18285137,0.14591218930512911,0.2362545197683764
Robert Morris,1.2479012436215946,0.03,1.3180293808041823,0.0072773555,0.6508019949814442,0.22935978349381472
Bryant,-0.37311594649168,0.26,0.8033500930640798,0.1999749,0.22255226164309994,0.2275090538810333
Mississippi,-1.3697640623982783,0.49,1.187264134540357,0.059306394,0.09170161653551966,0.21366933684517322
Troy,-0.1335343393374835,0.32,0.8543067967673978,0.042262163,0.2707586551074786,0.2110069393691595
Omaha,-1.6235798144731994,0.39,0.5209585428217347,0.2900568,-0.10564111791286615,0.19147189402904463
American,-0.2998402170657641,0.23,0.2812438838115443,0.07661594,0.07200490168644505,0.126206947228815
SIU Edward,-1.0967921487244574,0.14,0.3030644148710479,0.27844888,-0.09381971346335238,0.10820972217888254
Baylor,-1.4874024421593963,0.33,0.6945275151709461,0.07976526,-0.09577741674711253,0.10466261441762915
Vanderbilt,-1.8950717067910112,0.31,0.7445207180425171,0.09196508,-0.18714647718712352,0.07160620093762549
Mt St Mary's,0.2519427563899654,0.08,0.1279117995299552,0.0024580394,0.11557814882998016,0.06601206274332672
Mississippi St,-2.465238111342977,0.29,1.0430796353298837,0.122087464,-0.2525177530032733,0.05318990366557556
Arkansas,-1.965423519153468,0.16,0.5880768498509881,0.057492506,-0.28996354082562,-0.024157011608539992
Georgia,-1.3813341234624303,0.12,0.7222744124824061,-0.07644967,-0.15387734524500604,-0.03677567174833535
Texas,-2.4956361468470085,0.14,0.5877803183381711,0.041891854,-0.43149099362720933,-0.08319971320906977
Alabama St,-2.191846033111865,0.24,-0.2547195506144379,-0.011115371,-0.5544202386815757,-0.1085118698938586
St Francis PA,-2.2433010802934774,0.18,-1.000458320417194,0.16836828,-0.7238477801776677,-0.1251598333925559
